m_target,T,runs,formed_runs,formed_prob,m_actual_mean,sigma_E_mean,lc_mean,Delta_mean,branches_topo_main,tortuosity_topo_main,neck_topo_main,regime
0.0,500.0,32,18,0.5625,-0.018601233708633282,0.17665177793244602,0.11160740225179969,4.100076080595243,82.0,31.702898550724633,3.0434782608695654,critical
0.0,600.0,32,32,1.0,-0.016051414852014563,0.1771107453266374,0.09630848911208738,3.4256072362120884,70.0,36.52173913043478,3.0434782608695654,multi-path LRS
0.0,700.0,32,32,1.0,-0.01690135447088747,0.17695775619524026,0.10140812682532482,2.933698439881965,71.5,36.77536231884058,3.0434782608695654,multi-path LRS
0.0,800.0,32,29,0.90625,-0.02030089308740439,0.17634583924426722,0.12180535852442634,2.5581095399249625,61.0,49.45652173913042,3.0434782608695654,multi-path LRS
0.0,900.0,32,32,1.0,-0.014384910206632857,0.1774107161628061,0.08630946123979714,2.2876061037330095,59.0,54.275362318840564,3.0434782608695654,multi-path LRS
0.25,500.0,32,21,0.65625,0.2353800100209562,0.1376315981962279,1.4122800601257375,3.1944202900366228,93.0,28.405797101449267,3.0434782608695654,critical
0.25,600.0,32,30,0.9375,0.23470036683134166,0.1377539339703585,1.40820220098805,2.664383079384908,84.5,34.23913043478261,3.0434782608695654,multi-path LRS
0.25,700.0,32,25,0.78125,0.23730516943187394,0.1372850695022627,1.4238310165912438,2.275983844265699,71.0,50.72463768115941,3.0434782608695654,critical
0.25,800.0,32,30,0.9375,0.23341980360148873,0.13798443535173202,1.4005188216089324,2.0016310106726825,60.5,56.60869565217391,3.0434782608695654,multi-path LRS
0.25,900.0,32,26,0.8125,0.23600699428450558,0.137518741028789,1.4160419657070336,1.773222712580932,61.0,56.0,3.0434782608695654,multi-path LRS
0.5,500.0,32,28,0.875,0.4991079126353099,0.09016057572564422,2.9946474758118593,2.0926209986223565,98.0,40.1505016722408,3.0434782608695654,multi-path LRS
0.5,600.0,32,24,0.75,0.4995449755723728,0.09008190439697289,2.9972698534342372,1.7423292019065586,74.0,30.92710997442455,3.0434782608695654,critical
0.5,700.0,32,23,0.71875,0.4995508801543284,0.09008084157222089,2.997305280925971,1.4934074101397716,75.0,35.21739130434782,3.0434782608695654,critical
0.5,800.0,32,19,0.59375,0.4986827827345069,0.09023709910778877,2.9920966964070415,1.3089981882875241,68.0,45.19565217391304,3.0434782608695654,critical
0.5,900.0,32,13,0.40625,0.4991198456715698,0.09015842777911744,2.994719074029419,1.1625395249586405,63.0,57.065217391304344,3.0434782608695654,critical
0.75,500.0,32,27,0.84375,0.7437657862066013,0.04612215848281176,4.462594717239607,1.0704922474831555,98.0,27.391304347826086,3.0434782608695654,multi-path LRS
0.75,600.0,32,23,0.71875,0.7437689969604864,0.04612158054711246,4.462613981762917,0.8920656946948371,81.0,36.52173913043478,3.0434782608695654,critical
0.75,700.0,32,15,0.46875,0.7433130699088146,0.04620364741641337,4.459878419452887,0.765988285886924,84.0,41.086956521739125,3.0434782608695654,critical
0.75,800.0,32,18,0.5625,0.7435410334346505,0.04616261398176291,4.461246200607903,0.6696445105860931,74.0,54.88405797101448,3.0434782608695654,critical
0.75,900.0,32,13,0.40625,0.7433130699088146,0.04620364741641337,4.459878419452887,0.5957686668009409,73.0,38.33612040133779,3.0434782608695654,critical
0.9,500.0,32,28,0.875,0.8959903188781875,0.01872174260192626,5.375941913269124,0.4345304073790474,100.0,29.673913043478258,3.0434782608695654,multi-path LRS
0.9,600.0,32,20,0.625,0.8958031837916063,0.018755426917510868,5.374819102749638,0.3627601817630047,90.5,39.18478260869565,3.0434782608695654,critical
0.9,700.0,32,14,0.4375,0.8959903188781875,0.01872174260192626,5.375941913269124,0.31037886241360535,74.0,47.50439174352217,3.0434782608695654,critical
0.9,800.0,32,12,0.375,0.8958967513348969,0.01873858475971856,5.375380508009381,0.2718258204670791,74.0,42.999999999999986,3.0434782608695654,critical
0.9,900.0,32,8,0.25,0.8961761191923965,0.01868829854536864,5.377056715154379,0.24097454057700723,65.0,67.01185770750986,3.0434782608695654,critical
