m_target,T,runs,formed_runs,m_actual_mean,sigma_E_mean,lc_mean,Delta_mean,formed_prob,log10_t_set_mean,log10_t_set_std,neck_nm_mean,neck_nm_median,tortuosity_nm_mean,tortuosity_nm_median,branches_mean,branches_median,barrier_std_z_mean,rate_var_log_mean,energy_set_mean,formed_runs_check,Delta_mean_formed,Delta_median_formed,Delta_std_formed,sigma_E_mean_formed,sigma_E_median_formed,sigma_E_std_formed,lc_mean_formed,lc_median_formed,lc_std_formed,log10_t_set_mean_formed,log10_t_set_median_formed,log10_t_set_std_formed,neck_nm_mean_formed,neck_nm_median_formed,neck_nm_std_formed,tortuosity_nm_mean_formed,tortuosity_nm_median_formed,tortuosity_nm_std_formed,branches_mean_formed,branches_median_formed,branches_std_formed,neck_nm_lrs_mean_formed,neck_nm_lrs_median_formed,neck_nm_lrs_std_formed,tortuosity_nm_lrs_mean_formed,tortuosity_nm_lrs_median_formed,tortuosity_nm_lrs_std_formed,branches_lrs_mean_formed,branches_lrs_median_formed,branches_lrs_std_formed,neck_nm_crit_mean_formed,neck_nm_crit_median_formed,neck_nm_crit_std_formed,tortuosity_nm_crit_mean_formed,tortuosity_nm_crit_median_formed,tortuosity_nm_crit_std_formed,branches_crit_mean_formed,branches_crit_median_formed,branches_crit_std_formed,branches_topo_main,tortuosity_topo_main,neck_topo_main,regime
0.0,500.0,32,18,-0.018601233708633282,0.17665177793244602,0.11160740225179969,4.100076080595243,0.5625,-1.2922025950708595,0.09555670366043767,6.086956521739131,3.0434782608695654,28.888728077084647,28.23671497584541,49.4375,61.5,0.18850201476841366,2.4236414762232874,14815.364889705883,18,4.1000708824286205,4.100216431094047,0.025609182654754706,0.17665155396943705,0.176657824933687,0.0011033716346801066,0.11161486768543052,0.11140583554376685,0.036779054489336965,-1.2922025950708593,-1.3070384126939278,0.09555670366043761,3.2125603864734296,3.0434782608695654,0.7173547055515701,40.51232817568672,35.507246376811594,18.095042357907666,87.66666666666667,85.5,24.34555159270254,3.2125603864734296,3.0434782608695654,0.7173547055515701,40.51232817568672,35.507246376811594,18.095042357907666,87.66666666666667,85.5,24.34555159270254,3.2125603864734296,3.0434782608695654,0.7173547055515701,34.11661298980138,31.702898550724633,12.820665405382815,83.83333333333333,82.0,23.40500197921501,82.0,31.702898550724633,3.0434782608695654,critical
0.0,600.0,32,32,-0.016051414852014563,0.1771107453266374,0.09630848911208738,3.4256072362120884,1.0,-2.758934534478939,0.1211698972474532,3.0434782608695654,3.0434782608695654,50.153464515556905,45.39855072463768,77.59375,74.0,0.18945483668410512,1.9504504367164979,8827.742647058823,32,3.4256072362120884,3.416847025911706,0.011490344483783149,0.1771107453266374,0.176657824933687,0.0005940737905005537,0.09630848911208739,0.11140583554376685,0.019802459683352126,-2.758934534478939,-2.796224486156144,0.12116989724745328,3.0434782608695654,3.0434782608695654,0.0,50.153464515556905,45.39855072463768,23.02075377747018,77.59375,74.0,22.105114537357128,3.0434782608695654,3.0434782608695654,0.0,50.153464515556905,45.39855072463768,23.02075377747018,77.59375,74.0,22.105114537357128,3.0434782608695654,3.0434782608695654,0.0,39.07330147207864,36.52173913043478,14.908986525725851,74.09375,70.0,21.663644847174638,70.0,36.52173913043478,3.0434782608695654,multi-path LRS
0.0,700.0,32,32,-0.01690135447088747,0.17695775619524026,0.10140812682532482,2.933698439881965,1.0,-3.8693127316414047,0.12332590535689268,3.233695652173913,3.0434782608695654,49.83944746376812,51.48550724637681,73.5,74.5,0.1870213451730745,1.5261565269282424,6243.63419117647,32,2.933698439881965,2.9287260222100335,0.013520422059912359,0.17695775619524023,0.176657824933687,0.0008155383382318481,0.10140812682532482,0.11140583554376685,0.027184611274395108,-3.869312731641404,-3.863782363040781,0.12332590535689268,3.233695652173913,3.0434782608695654,0.7484968777969029,49.83944746376812,51.48550724637681,16.414812546306834,73.5,74.5,17.217770265142516,3.233695652173913,3.0434782608695654,0.7484968777969029,49.83944746376812,51.48550724637681,16.414812546306834,73.5,74.5,17.217770265142516,3.233695652173913,3.0434782608695654,0.7484968777969029,36.61933876811594,36.77536231884058,11.368755687931442,70.09375,71.5,16.569227939651533,71.5,36.77536231884058,3.0434782608695654,multi-path LRS
0.0,800.0,32,29,-0.02030089308740439,0.17634583924426722,0.12180535852442634,2.5581095399249625,0.90625,-4.663807867234089,0.15665714749966844,3.423913043478261,3.0434782608695654,65.68124176548089,60.6159420289855,58.25,64.5,0.18729452485214837,1.2342267097524622,6335.280330882353,29,2.5594780166756483,2.5626352694337795,0.017582562737907082,0.17644017655755245,0.176657824933687,0.00121207154490036,0.11866078141491879,0.11140583554376685,0.04040238483001207,-4.663807867234089,-4.683198985422306,0.1566571474996685,3.1484257871064463,3.0434782608695654,0.5651597248866798,65.40938621598292,60.362318840579704,16.164989964756522,64.10344827586206,65.0,20.888043106705478,3.1484257871064463,3.0434782608695654,0.5651597248866798,65.40938621598292,60.362318840579704,16.164989964756522,64.10344827586206,65.0,20.888043106705478,3.1484257871064463,3.0434782608695654,0.5651597248866798,52.238471673254274,49.45652173913042,14.932879100691634,60.93103448275862,61.0,20.528605537644225,61.0,49.45652173913042,3.0434782608695654,multi-path LRS
0.0,900.0,32,32,-0.014384910206632857,0.1774107161628061,0.08630946123979714,2.2876061037330095,1.0,-5.316502259195674,0.1598190605464938,3.0434782608695654,3.0434782608695654,73.48585562987736,65.81521739130434,60.78125,61.5,0.18858510419937544,1.0257097226856007,4303.034007352941,32,2.2876061037330095,2.2856848708748103,0.010961222293934236,0.1774107161628061,0.17726171879095418,0.0008500756725614948,0.08630946123979713,0.09127604030152756,0.028335855752050196,-5.3165022591956745,-5.322198581461437,0.15981906054649384,3.0434782608695654,3.0434782608695654,0.0,73.48585562987736,65.81521739130434,21.848315181300304,60.78125,61.5,15.812886486415378,3.0434782608695654,3.0434782608695654,0.0,73.48585562987736,65.81521739130434,21.848315181300304,60.78125,61.5,15.812886486415378,3.0434782608695654,3.0434782608695654,0.0,57.98313823857301,54.275362318840564,19.18825483250044,57.5,59.0,15.280179022764816,59.0,54.275362318840564,3.0434782608695654,multi-path LRS
0.25,500.0,32,21,0.2353800100209562,0.1376315981962279,1.4122800601257375,3.1944202900366228,0.65625,-1.189287405645445,0.09129533846534826,9.891304347826088,3.0434782608695654,32.06784768673356,32.10869565217391,59.8125,72.5,0.1497856045889934,2.117153732387931,8823.598345588236,21,3.195061477239061,3.1971132762868644,0.006480242768781454,0.13765922374684494,0.13774762550881955,0.0002792012596929542,1.4113592084385023,1.4084124830393487,0.009306708656431682,-1.189287405645445,-1.1702830363195191,0.09129533846534829,3.043478260869565,3.0434782608695654,4.550560269027492e-16,41.42326272761055,39.36231884057971,16.76528796757171,90.9047619047619,94.0,21.812621946718743,3.043478260869565,3.0434782608695654,4.550560269027492e-16,41.42326272761055,39.36231884057971,16.76528796757171,90.9047619047619,94.0,21.812621946718743,3.043478260869565,3.0434782608695654,4.550560269027492e-16,30.771088814567065,28.405797101449267,15.060920531132082,87.71428571428571,93.0,20.734374495370865,93.0,28.405797101449267,3.0434782608695654,critical
0.25,600.0,32,30,0.23470036683134166,0.1377539339703585,1.40820220098805,2.664383079384908,0.9375,-2.741546309215096,0.18472843856852086,3.899456521739131,3.0434782608695654,44.43687265966299,38.80434782608695,82.09375,87.0,0.15088922913845912,1.5927254591167208,5336.263786764706,30,2.663177980136902,2.664261063572387,0.018245674825342235,0.13769162792903814,0.13774762550881955,0.0009433378798198438,1.410279069032062,1.4084124830393487,0.03144459599399477,-2.741546309215096,-2.752048995485416,0.18472843856852086,3.347826086956521,3.0434782608695654,0.9286521897415447,46.01285740702215,41.847826086956516,19.866466079982448,87.4,90.0,25.86116780039138,3.347826086956521,3.0434782608695654,0.9286521897415447,46.01285740702215,41.847826086956516,19.866466079982448,87.4,90.0,25.86116780039138,3.1449275362318834,3.0434782608695654,0.5556605655849511,36.47662552296419,34.23913043478261,15.000011172751746,83.9,84.5,25.422431040323428,84.5,34.23913043478261,3.0434782608695654,multi-path LRS
0.25,700.0,32,25,0.23730516943187394,0.1372850695022627,1.4238310165912438,2.275983844265699,0.78125,-3.7740957112363724,0.18388023270727372,6.657608695652175,3.0434782608695654,50.653048865478794,54.55882352941176,58.4375,66.5,0.14860572665947122,1.1777094023888788,7461.289522058823,25,2.2787362626469942,2.2836523402049034,0.008542110733653057,0.13745109262660404,0.13774762550881955,0.0005152515773432145,1.4182969124465328,1.4084124830393487,0.01717505257810689,-3.774095711236373,-3.858653987678404,0.18388023270727372,3.28695652173913,3.0434782608695654,0.8427009716003845,58.06817728001198,60.02415458937198,18.897564013315552,74.44,75.0,14.9724190875534,3.28695652173913,3.0434782608695654,0.8427009716003845,58.06817728001198,60.02415458937198,18.897564013315552,74.44,75.0,14.9724190875534,3.1652173913043473,3.0434782608695654,0.6086956521739131,45.894264236533715,50.72463768115941,13.281673498360405,71.08,71.0,14.654123424256168,71.0,50.72463768115941,3.0434782608695654,critical
0.25,800.0,32,30,0.23341980360148873,0.13798443535173202,1.4005188216089324,2.0016310106726825,0.9375,-4.526329806195213,0.25557580821013265,3.9945652173913047,3.0434782608695654,69.18086261120948,71.58026755852842,62.6875,61.0,0.1503498914165807,0.9915075337982951,5840.71875,30,2.0014050622589266,1.9981957976792903,0.009220380008116149,0.13796885937188139,0.13774762550881955,0.0006356161162394936,1.4010380209372875,1.4084124830393487,0.021187203874650076,-4.526329806195213,-4.563570798543642,0.25557580821013276,3.347826086956521,3.0434782608695654,0.9286521897415445,71.5540738554805,72.53623188405797,19.80308768828683,66.73333333333333,63.0,15.64682039603405,3.347826086956521,3.0434782608695654,0.9286521897415445,71.5540738554805,72.53623188405797,19.80308768828683,66.73333333333333,63.0,15.64682039603405,3.246376811594202,3.0434782608695654,0.7721551834422772,57.19900139171238,56.60869565217391,16.3101407611614,63.7,60.5,15.342413603224681,60.5,56.60869565217391,3.0434782608695654,multi-path LRS
0.25,900.0,32,26,0.23600699428450558,0.137518741028789,1.4160419657070336,1.773222712580932,0.8125,-5.260110341689057,0.2109658063819313,10.271739130434783,3.0434782608695654,61.47364448258327,65.47705314009661,50.34375,57.5,0.14813021179859484,0.8201826203418148,6168.325367647059,26,1.772522770098909,1.7701896284921657,0.009490265128056952,0.13746445838948068,0.13728351625845292,0.0007359985314761997,1.4178513870173115,1.4238827913849035,0.024533284382540103,-5.260110341689057,-5.275249119120389,0.2109658063819313,3.2775919732441468,3.0434782608695654,0.8270545292882265,70.7200708013065,75.47101449275362,22.58672187873446,61.92307692307692,64.0,14.732068631181642,3.2775919732441468,3.0434782608695654,0.8270545292882265,70.7200708013065,75.47101449275362,22.58672187873446,61.92307692307692,64.0,14.732068631181642,3.2775919732441468,3.0434782608695654,0.8270545292882265,55.678264781239605,56.0,21.14702398723661,59.11538461538461,61.0,14.28097174026172,61.0,56.0,3.0434782608695654,multi-path LRS
0.5,500.0,32,28,0.4991079126353099,0.09016057572564422,2.9946474758118593,2.0926209986223565,0.875,-1.1672474582995658,0.12098186655791848,11.888586956521738,3.0434782608695654,45.13499464756258,40.07246376811594,92.28125,96.5,0.10633406743481391,1.6467767533241866,5058.686580882353,28,2.091588314902852,2.088894046651967,0.014714568981597762,0.09011608254758938,0.09,0.0006339772045721426,2.9961305817470207,3.0,0.021132573485737837,-1.1672474582995662,-1.1711783998013041,0.12098186655791852,3.2608695652173907,3.0434782608695654,0.7981986300414642,51.582851025785814,54.972826086956516,26.751741840395972,105.46428571428571,101.0,24.29979750389206,3.2608695652173907,3.0434782608695654,0.7981986300414642,51.582851025785814,54.972826086956516,26.751741840395972,105.46428571428571,101.0,24.29979750389206,3.1521739130434776,3.0434782608695654,0.5751633284923023,40.93067711274232,40.1505016722408,20.093275835841567,101.85714285714286,98.0,23.487923273089507,98.0,40.1505016722408,3.0434782608695654,multi-path LRS
0.5,600.0,32,24,0.4995449755723728,0.09008190439697289,2.9972698534342372,1.7423292019065586,0.75,-2.638512625174105,0.15838778892459057,20.543478260869566,3.0434782608695654,36.10669008722877,29.2512077294686,62.9375,69.0,0.11242465453790566,1.1939077117726653,6262.659926470588,24,1.7398139956923886,1.7407450388766392,0.011689435107899703,0.08995186320528786,0.09,0.0006043671739486294,3.0016045598237384,3.0,0.020145572464954124,-2.6385126251741053,-2.678374259039056,0.15838778892459057,3.1702898550724634,3.0434782608695654,0.6212473985319654,48.14225344963836,48.70378981632179,25.897860239931372,83.91666666666667,78.0,22.99700673654247,3.1702898550724634,3.0434782608695654,0.6212473985319654,48.14225344963836,48.70378981632179,25.897860239931372,83.91666666666667,78.0,22.99700673654247,3.1702898550724634,3.0434782608695654,0.6212473985319654,34.70022446413111,30.92710997442455,18.77434652629499,80.125,74.0,21.996664766949674,74.0,30.92710997442455,3.0434782608695654,critical
0.5,700.0,32,23,0.4995508801543284,0.09008084157222089,2.997305280925971,1.4934074101397716,0.71875,-3.7440719363315873,0.21426007163178704,16.929347826086957,3.0434782608695654,39.87293954245296,40.57971014492753,57.21875,69.5,0.11139056811852185,0.9378196027158862,6222.805147058823,23,1.49165732348378,1.4920671761799764,0.007950291334712041,0.08997527809521813,0.09,0.0004795536230184987,3.000824063492729,3.0,0.015985120767283218,-3.744071936331587,-3.8035490124005094,0.21426007163178717,3.175803402646502,3.0434782608695654,0.6346090862606625,52.96313420793763,50.43478260869565,18.510357485101284,79.30434782608695,77.0,13.182063511414755,3.175803402646502,3.0434782608695654,0.6346090862606625,52.96313420793763,50.43478260869565,18.510357485101284,79.30434782608695,77.0,13.182063511414755,3.0434782608695645,3.0434782608695654,9.081399776987543e-16,37.944230616255204,35.21739130434782,14.208729567448204,75.8695652173913,75.0,12.761106919165421,75.0,35.21739130434782,3.0434782608695654,critical
