branch,m_target,E,formed_prob,log10_t_set_mean,log10_t_set_std,branches_mean,tortuosity_nm_mean,neck_nm_mean,m_final_mean,sigma_final_mean,Delta_final_mean,n_dyn_updates_mean
dynamic,0.0,0.06,0.5,-3.7024541064409964,0.017457696229754127,28.75,51.48550724637681,3.804347826086957,0.03592335179277807,0.16592848792140502,2.7508494491189346,352.25
dynamic,0.0,0.075,0.5,-3.794825750969755,0.06939409162580223,33.25,46.983695652173914,3.0434782608695654,-0.027652940613525346,0.1741417681718015,2.887013514345422,357.0
dynamic,0.0,0.09,0.25,-3.847113020529393,0.0,15.5,28.913043478260864,6.086956521739131,-0.008298898567927995,0.17648707465800434,2.925895234635925,378.25
dynamic,0.0,0.105,1.0,-3.939614060589329,0.07508205992714771,64.5,40.199275362318836,3.0434782608695654,0.010287643248380697,0.17637676245710782,2.924066421146037,261.25
dynamic,0.25,0.06,0.0,,,2.0,29.483695652173914,5.326086956521739,0.03282166111081955,0.15483112576811175,2.5668715623288145,400.0
dynamic,0.25,0.075,0.0,,,1.0,20.21376811594203,22.82608695652174,0.2911222243891567,0.12536657653099162,2.078392820354973,400.0
dynamic,0.25,0.09,0.5,-3.897075362730532,0.01653550730399389,42.25,36.052536231884055,5.326086956521739,0.05334995427023237,0.16657671399376514,2.7615960807335194,326.0
dynamic,0.25,0.105,0.25,-3.9775417520876264,0.0,14.5,22.64855072463768,24.347826086956523,0.07397830950193512,0.15671773819867138,2.5981488121267162,339.0
dynamic,0.5,0.06,0.0,,,0.5,33.288043478260875,5.326086956521739,0.33490678399817053,0.11987119508626229,1.9872875061964272,400.0
dynamic,0.5,0.075,0.0,,,0.5,22.889492753623188,25.108695652173914,0.28005050505050505,0.12181677103652908,2.0195422841315187,400.0
dynamic,0.5,0.09,0.5,-3.659507360345721,0.3036413033320895,38.25,24.855072463768117,38.80434782608695,0.5119438633879947,0.08643184727319266,1.432912469921462,352.5
dynamic,0.5,0.105,1.0,-4.036941322158562,0.055146761987316786,77.25,39.67934782608695,3.0434782608695654,0.01852135955948895,0.172107335512231,2.8532856233066037,258.25
dynamic,0.75,0.06,0.0,,,0.5,47.49094202898551,6.8478260869565215,0.23947403011186452,0.13343227060740973,2.212110124627559,400.0
dynamic,0.75,0.075,0.0,,,0.0,14.456521739130437,44.130434782608695,0.6244611059044048,0.06674511120451945,1.106535439986065,400.0
dynamic,0.75,0.09,0.5,-3.682387151789439,0.030214082378748897,50.0,33.147233201581024,4.565217391304348,0.0757412787975503,0.16565482355393518,2.7463124977856928,295.75
dynamic,0.75,0.105,0.0,,,0.0,2.0078502415458943,60.869565217391305,0.8571428571428572,0.02575110485154999,0.42691531443740766,400.0
dynamic,0.9,0.06,0.25,-3.703514107187382,0.0,11.5,19.275362318840582,21.304347826086953,0.361115628557489,0.11470786451420306,1.9016871054593587,381.0
dynamic,0.9,0.075,0.0,,,0.0,19.554347826086957,32.71739130434783,0.4930915371329879,0.0917943568322393,1.5218149643104049,400.0
dynamic,0.9,0.09,0.25,-3.9006142483333126,0.0,16.25,12.36413043478261,6.086956521739131,0.0039179674422845645,0.15932804530257794,2.641423851565476,347.0
dynamic,0.9,0.105,0.25,-3.9739854850927476,0.0,19.5,13.653381642512075,44.130434782608695,0.3087878713371667,0.12269240173290771,2.0340589488039873,343.25
static,0.0,0.06,0.0,,,2.0,40.33486622073579,5.326086956521739,-0.021967397732786095,0.1760458684080985,2.918580686153592,0.0
static,0.0,0.075,0.5,-3.796648498665342,0.14330019679696693,25.5,49.393115942028984,9.891304347826088,-0.018567639257294474,0.176657824933687,2.9287260222100335,0.0
static,0.0,0.09,1.0,-3.913610869940128,0.1184055460193865,69.25,50.66123188405797,3.0434782608695654,-0.011901620675767647,0.17785770827836184,2.9486183172526372,0.0
static,0.0,0.105,1.0,-4.033275285210774,0.05046395241032285,89.0,26.440217391304348,3.0434782608695654,-0.021967397732786095,0.1760458684080985,2.918580686153592,0.0
static,0.25,0.06,0.0,,,0.0,24.531037802776936,6.847826086956522,0.2398921832884097,0.13681940700808626,2.2682638473463794,0.0
static,0.25,0.075,0.25,-3.728163157241087,0.0,16.75,19.609683794466402,30.434782608695656,0.23731379856415058,0.13728351625845292,2.2759580937756416,0.0
static,0.25,0.09,0.25,-4.158850263554396,0.0,24.25,53.894927536231876,22.065217391304348,0.23731379856415058,0.13728351625845292,2.2759580937756416,0.0
static,0.25,0.105,0.5,-4.005614749464201,0.0452172084133966,22.0,33.76470588235294,3.0434782608695654,0.2347001900048606,0.13775396579912508,2.2837574528610407,0.0
static,0.5,0.06,0.25,-3.7310060891730648,0.0,18.25,26.091833890746937,12.934782608695652,0.4965034965034965,0.09062937062937064,1.5025012123770394,0.0
static,0.5,0.075,0.75,-3.560629105886339,0.09409341016421868,71.25,63.35507246376812,7.608695652173913,0.4982517482517482,0.09031468531468531,1.497284194278508,0.0
static,0.5,0.09,0.5,-3.5899944543539277,0.05979228378782686,43.75,29.736572890025574,36.52173913043478,0.4982517482517482,0.09031468531468531,1.497284194278508,0.0
static,0.5,0.105,1.0,-4.068608054842889,0.10110416608391086,55.5,58.86496655518394,3.0434782608695654,0.49997588618278277,0.09000434048709911,1.492139135050301,0.0
static,0.75,0.06,0.25,-3.2104783461401993,0.0,20.0,39.22780797101449,20.543478260869566,0.7428571428571429,0.04628571428571428,0.7673488334639877,0.0
static,0.75,0.075,0.25,-3.3280067432727534,0.0,18.75,37.28260869565217,25.108695652173914,0.7428571428571429,0.04628571428571428,0.7673488334639877,0.0
static,0.75,0.09,0.75,-3.9174509786609675,0.025685413794681602,64.0,44.789855072463766,21.304347826086957,0.7428571428571429,0.04628571428571428,0.7673488334639877,0.0
static,0.75,0.105,0.5,-3.943835502860813,0.12077743077728398,53.0,30.625,38.04347826086956,0.7428571428571429,0.04628571428571428,0.7673488334639877,0.0
static,0.9,0.06,0.5,-3.4079516880228473,0.01500939703050519,28.25,36.71195652173913,22.82608695652174,0.8958031837916063,0.018755426917510868,0.31093729865400405,0.0
static,0.9,0.075,0.25,-3.6287592536146605,0.0,18.0,5.7065217391304355,55.54347826086956,0.8958031837916063,0.018755426917510868,0.31093729865400405,0.0
static,0.9,0.09,0.75,-3.7019990430482537,0.13385578466833575,67.25,60.51969528056485,4.565217391304348,0.8965517241379309,0.01862068965517243,0.3087035536924092,0.0
static,0.9,0.105,0.25,-3.799194434742546,0.0,24.5,16.35869565217391,55.54347826086956,0.8958031837916063,0.018755426917510868,0.31093729865400405,0.0
