branch,m_target,formed_prob,log10_t_set_mean,log10_t_set_std,branches_mean,tortuosity_nm_mean,neck_nm_mean,m_final_mean,sigma_final_mean,Delta_final_mean,n_dyn_updates_mean
dynamic,0.0,0.25,-3.7831050614663804,0.0,22.0,41.18840579710146,3.804347826086957,0.007303197226202373,0.17114090934866744,2.837263703785995,370.5
dynamic,0.25,0.0,,,0.0,11.717391304347826,25.108695652173914,0.4179375442172921,0.10364332054670941,1.7182532957560537,400.0
dynamic,0.5,0.25,-3.752753628336412,0.0,24.25,24.144927536231883,23.58695652173913,0.21691248420471468,0.1316622890334748,2.1827664423063178,365.0
dynamic,0.75,0.25,-3.4557646927810732,0.0,18.5,32.23550724637681,25.108695652173914,0.3554913111047223,0.11305884745541425,1.874348836277363,395.5
dynamic,0.9,0.5,-3.5917801659517696,0.17902170883277546,38.5,41.68719806763285,23.58695652173913,0.43654502831649894,0.10166805771728599,1.685506353177042,352.25
static,0.0,0.5,-3.8199700851406146,0.0290862072944309,30.25,34.77355072463769,4.565217391304348,-0.008546654802061099,0.178461602135629,2.9586299861673604,0.0
static,0.25,0.0,,,0.0,7.663043478260869,44.130434782608695,0.22950819672131148,0.13868852459016393,2.2992510583757015,0.0
static,0.5,1.0,-3.7391133080912384,0.0317484238641341,73.0,51.35869565217391,3.0434782608695654,0.4965034965034965,0.09062937062937064,1.5025012123770394,0.0
static,0.75,0.0,,,0.75,19.44076874606175,24.347826086956523,0.7428571428571429,0.04628571428571428,0.7673488334639877,0.0
static,0.9,0.0,,,0.0,8.75,57.826086956521735,0.8958031837916063,0.018755426917510868,0.31093729865400405,0.0
