m_target,E,bottom_contact_frac_lrs_med,G_proxy_lrs_med,reset_success_med
0.0,0.045,0.125,1.2054582139081649,1.0
0.0,0.06,0.14583333333333331,1.4674947539159866,1.0
0.0,0.075,0.125,1.0390048763636246,1.0
0.0,0.09,0.125,0.6417338825472985,1.0
0.0,0.105,0.14583333333333331,0.6529515964777193,1.0
0.0,0.12,0.16666666666666666,0.721624498246054,1.0
0.25,0.045,0.125,1.5060147694730017,1.0
0.25,0.06,0.125,1.6019566901394864,1.0
0.25,0.075,0.125,1.465759279528149,1.0
0.25,0.09,0.14583333333333331,0.7042166691754645,1.0
0.25,0.105,0.25,0.8907537766412574,1.0
0.25,0.12,0.25,0.8754119163605942,1.0
0.5,0.045,0.14583333333333331,1.4783945847436586,1.0
0.5,0.06,0.14583333333333331,0.9219766358322641,1.0
0.5,0.075,0.16666666666666666,0.5783482825001087,1.0
0.5,0.09,0.16666666666666666,0.7809446055777769,1.0
0.5,0.105,0.25,0.6907689401399334,1.0
0.5,0.12,0.27083333333333337,0.922417614666512,1.0
0.75,0.045,0.16666666666666666,1.2588641875420514,1.0
0.75,0.06,0.375,1.585496528351928,1.0
0.75,0.075,0.3125,0.9329514548388871,1.0
0.75,0.09,0.75,1.6372558192436057,1.0
0.75,0.105,0.75,1.621038103593275,1.0
0.75,0.12,0.5,1.1293887865309575,0.0
0.9,0.045,0.16666666666666666,1.1166682266948955,1.0
0.9,0.06,0.25,0.4669551855678563,1.0
0.9,0.075,0.25,1.0172575874741756,1.0
0.9,0.09,0.4375,1.1396414981244762,1.0
0.9,0.105,0.625,1.2988298907849367,1.0
0.9,0.12,0.5416666666666666,1.0422648224936044,1.0
