task,scheme,mask_mode,profile,lattice_tag,m_target,E,T,n_runs,n_formed,p_form,p_form_lo,p_form_hi,log10_t_set_med,log10_t_set_lo,log10_t_set_hi,neck_nm_crit_med,neck_nm_crit_lo,neck_nm_crit_hi,tortuosity_nm_crit_med,tortuosity_nm_crit_lo,tortuosity_nm_crit_hi,branches_crit_med,branches_crit_lo,branches_crit_hi,neck_nm_lrs_med,neck_nm_lrs_lo,neck_nm_lrs_hi,tortuosity_nm_lrs_med,tortuosity_nm_lrs_lo,tortuosity_nm_lrs_hi,branches_lrs_med,branches_lrs_lo,branches_lrs_hi,bottom_contact_frac_lrs_med,bottom_contact_frac_lrs_lo,bottom_contact_frac_lrs_hi,top_contact_frac_lrs_med,top_contact_frac_lrs_lo,top_contact_frac_lrs_hi,G_proxy_lrs_med,G_proxy_lrs_lo,G_proxy_lrs_hi,reset_success_med,reset_success_lo,reset_success_hi
task2_checkerboard,baseline,checkerboard,baseline,base,0.0,0.045,700.0,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task2_checkerboard,baseline,checkerboard,baseline,base,0.0,0.06,700.0,20,0,0.0,-1.3877787807814457e-17,0.16113012549493322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task2_checkerboard,baseline,checkerboard,baseline,base,0.0,0.075,700.0,20,6,0.3,0.14547527396899385,0.5189767762289793,-3.852194403557842,-3.8882309124174643,-3.69750054040547,9.636726557091732,7.262703580178923,13.499592383105366,3.0434782608695654,3.0434782608695654,4.565217391304348,71.0,59.0,80.5,9.913673545554172,7.533949548753302,13.697888815435785,3.0434782608695654,3.0434782608695654,6.086956521739131,74.5,63.0,85.0,0.14583333333333331,0.125,0.22916666666666669,0.7708333333333333,0.6458333333333333,1.0,0.8650193742528722,0.5818490667498468,1.6092964576354696,1.0,1.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.0,0.09,700.0,20,18,0.9,0.6989617935882066,0.9721341060158468,-3.926368497798732,-3.984570634735567,-3.898723046247456,5.87428234902612,3.59722651119733,9.41472864802181,3.0434782608695654,3.0434782608695654,3.0434782608695654,66.5,55.0,76.5,6.961652258321231,3.9186124349240776,9.823317464528362,3.0434782608695654,3.0434782608695654,3.0434782608695654,68.0,58.0,79.0,0.125,0.125,0.16666666666666666,0.875,0.7083333333333334,1.0,0.5986987964038668,0.4482689656061698,0.8855393000822176,1.0,1.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.0,0.105,700.0,20,20,1.0,0.8388698745050667,1.0,-4.078874367565824,-4.117588306898384,-4.040134205835788,4.9568393996532265,3.4402885387229003,5.757543939055168,3.0434782608695654,3.0434782608695654,3.0434782608695654,75.0,68.5,85.0,5.239126544251714,3.4589887122850307,6.273735839978299,3.0434782608695654,3.0434782608695654,3.0434782608695654,77.0,71.0,88.0,0.125,0.125,0.1875,0.9375,0.875,1.0,0.5452216050801024,0.3880579992826373,0.7167214043972829,1.0,0.5,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.0,0.12,700.0,20,20,1.0,0.8388698745050667,1.0,-4.224427980572347,-4.254868507611319,-4.164953470214466,4.46203212313571,3.9490132994141187,6.455153478246108,3.0434782608695654,3.0434782608695654,3.0434782608695654,80.5,72.975,92.0,4.896983760721323,4.42198083947571,6.767198304129205,3.0434782608695654,3.0434782608695654,3.0434782608695654,84.0,74.9875,96.0,0.125,0.125,0.16666666666666666,1.0,1.0,1.0,0.6380731332386707,0.46569564049806156,0.8029794814775569,1.0,0.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.5,0.045,700.0,20,1,0.05,0.008881219432873136,0.23613589351256675,-3.322922426502869,-3.322922426502869,-3.322922426502869,6.0300863709307295,6.0300863709307295,6.0300863709307295,3.0434782608695654,3.0434782608695654,3.0434782608695654,61.0,61.0,61.0,7.333919389145708,7.333919389145708,7.333919389145708,3.0434782608695654,3.0434782608695654,3.0434782608695654,63.0,63.0,63.0,0.125,0.125,0.125,1.0,1.0,1.0,0.8519633932359283,0.8519633932359283,0.8519633932359283,1.0,1.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.5,0.06,700.0,20,5,0.25,0.11186005278940309,0.4687050099580636,-3.5292429452914704,-3.6825890921261983,-3.3787422780769973,7.693730977733369,4.126637300026421,12.960774423415934,3.0434782608695654,3.0434782608695654,3.0434782608695654,53.0,44.0,91.0,9.298157769422987,6.6122765549574165,12.995888812471618,3.0434782608695654,3.0434782608695654,3.0434782608695654,54.0,46.0,96.0,0.125,0.125,0.16666666666666666,1.0,0.7083333333333334,1.0,1.080144138999512,0.7741917316596982,1.6964143099364977,1.0,0.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.5,0.075,700.0,20,8,0.4,0.21880396741419272,0.613422057684794,-3.7280934211996812,-3.906161730745171,-3.5837797325820233,6.982695674623176,5.915097506960891,8.704328418822792,3.0434782608695654,3.0434782608695654,4.565217391304348,69.5,61.5,83.0,7.10845147998233,6.094546466159438,9.467146629206859,3.0434782608695654,3.0434782608695654,6.086956521739131,71.5,64.0,87.0,0.125,0.125,0.20833333333333334,1.0,1.0,1.0,0.7445625768394867,0.6372360479865534,1.0824193753588518,1.0,1.0,1.0
task2_checkerboard,baseline,checkerboard,baseline,base,0.5,0.09,700.0,20,14,0.7,0.4810232237710206,0.854524726031006,-3.8879839975436217,-3.9106274245037462,-3.7713031274301274,5.046569336105745,3.934366928175272,6.504791478267512,3.0434782608695654,3.0434782608695654,3.0434782608695654,81.0,75.5,92.5,5.533366226499018,4.043014640895146,6.882773606364535,3.0434782608695654,3.0434782608695654,3.0434782608695654,85.0,79.0,96.5,0.125,0.125,0.16666666666666666,1.0,1.0,1.0,0.617438292916952,0.5060760879662429,0.9685437673629028,1.0,1.0,1.0
