source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,branches,tortuosity,neck_nm
mE,0.0,-0.0152348498255057,0.055,700.0,0.1772577270314089,0.0914090989530345,2.9386715136426163,0.71875,56.0,57.369565217391305,3.0434782608695654
mE,0.0,-0.0152348498255057,0.06,700.0,0.1772577270314089,0.0914090989530345,2.9386715136426163,0.6875,62.0,41.59420289855072,3.0434782608695654
mE,0.0,-0.0127184055612511,0.065,700.0,0.1777106869989748,0.0763104333675069,2.946180921417377,0.78125,62.0,37.53623188405796,3.0434782608695654
mE,0.0,-0.0160847894443786,0.07,700.0,0.1771047379000118,0.096508736666272,2.936135179628506,1.0,59.5,43.70772946859903,3.0434782608695654
mE,0.0,-0.0135461687382062,0.075,700.0,0.1775616896271228,0.0812770124292373,2.9437107648854077,0.96875,61.0,48.69565217391303,3.0434782608695654
mE,0.0,-0.0127296037116974,0.08,700.0,0.1777086713318944,0.0763776222701845,2.946147504631948,0.84375,63.0,41.99999999999999,3.0434782608695654
mE,0.0,-0.0143849102066328,0.085,700.0,0.1774107161628061,0.0863094612397971,2.9412078476567265,0.96875,77.0,43.74999999999999,3.0434782608695654
mE,0.0,-0.0160847894443786,0.09,700.0,0.1771047379000118,0.096508736666272,2.936135179628506,0.96875,68.0,36.52173913043477,3.0434782608695654
mE,0.0,-0.0177512940897603,0.095,700.0,0.1768047670638431,0.1065077645385622,2.931162105867855,1.0,69.5,41.34057971014492,3.0434782608695654
mE,0.0,-0.0093853962704877,0.1,700.0,0.1783106286713122,0.0563123776229264,2.95612706893868,0.96875,69.0,45.65217391304347,3.0434782608695654
mE,0.0,-0.0135461687382062,0.105,700.0,0.1775616896271228,0.0812770124292373,2.9437107648854077,1.0,77.0,38.29710144927536,3.0434782608695654
mE,0.25,0.2340469646915191,0.055,700.0,0.1378715463555265,1.404281788149115,2.2857067649584137,0.375,63.5,45.65217391304347,3.0434782608695654
mE,0.25,0.2327489663706319,0.06,700.0,0.1381051860532862,1.3964937982237913,2.289580166337079,0.625,68.0,41.84782608695652,3.0434782608695654
mE,0.25,0.2340820117000689,0.065,700.0,0.1378652378939876,1.4044920702004138,2.2856021799762534,0.6875,64.5,55.73715415019762,3.0434782608695654
mE,0.25,0.2347266078811337,0.07,700.0,0.1377492105813959,1.4083596472868023,2.283678618368937,0.25,78.5,52.39855072463768,3.0434782608695654
mE,0.25,0.2366517672920514,0.075,700.0,0.1374026818874307,1.4199106037523086,2.2779336840370488,0.78125,68.0,36.52173913043478,3.0434782608695654
mE,0.25,0.2340557706502768,0.08,700.0,0.1378699612829501,1.4043346239016614,2.28568048679438,0.75,68.5,40.528985507246375,3.0434782608695654
mE,0.25,0.2385943617940035,0.085,700.0,0.1370530148770793,1.431566170764021,2.2721367210510683,0.71875,81.0,36.66666666666666,3.0434782608695654
mE,0.25,0.2373051694318739,0.09,700.0,0.1372850695022627,1.4238310165912438,2.275983844265699,0.90625,66.0,40.07246376811594,3.0434782608695654
mE,0.25,0.2346829317403073,0.095,700.0,0.1377570722867446,1.408097590441844,2.283808953841156,0.84375,75.0,41.99999999999999,3.0434782608695654
mE,0.25,0.2321218052806014,0.1,700.0,0.1382180750494917,1.392730831683609,2.2914516992903025,0.875,74.5,41.84782608695651,3.0434782608695654
mE,0.25,0.2334198036014887,0.105,700.0,0.137984435351732,1.4005188216089324,2.287578297911637,0.96875,74.0,37.90513833992095,3.0434782608695654
mE,0.5,0.4991198456715698,0.055,700.0,0.0901584277791174,2.994719074029419,1.4946936749468234,0.40625,58.0,31.956521739130437,3.0434782608695654
mE,0.5,0.4978146853146853,0.06,700.0,0.0903933566433566,2.986888111888112,1.498588448803141,0.625,63.5,44.384057971014485,3.0434782608695654
mE,0.5,0.4995569086086328,0.065,700.0,0.0900797564504461,2.9973414516517964,1.4933894204221905,0.53125,78.0,53.26086956521739,3.0434782608695654
mE,0.5,0.4999820385094358,0.07,700.0,0.0900032330683015,2.9998922310566147,1.4921207756809889,0.5,68.0,40.57971014492753,3.0434782608695654
mE,0.5,0.4969405594405594,0.075,700.0,0.0905506993006993,2.9816433566433567,1.5011969578524065,0.6875,73.0,36.01449275362319,3.0434782608695654
