zone_tag,zmax,m_target,E50,wE
z<=10,10,0.25,0.085,0.038000000000000006
z<=10,10,0.5,0.07,0.025999999999999995
z<=10,10,0.75,0.075,0.027999999999999997
z<=12,12,0.25,0.085,0.058
z<=12,12,0.5,0.07,0.013999999999999999
z<=12,12,0.75,0.085,0.048
z<=15,15,0.25,0.095,0.038000000000000006
z<=15,15,0.5,0.07,0.0059999999999999915
z<=15,15,0.75,0.065,0.028000000000000004
z<=17,17,0.25,0.085,0.018000000000000002
z<=17,17,0.5,0.055,0.023999999999999994
z<=17,17,0.75,0.075,0.07
z<=19,19,0.25,0.085,0.032
z<=19,19,0.5,0.07,0.0059999999999999915
z<=19,19,0.75,0.065,0.04000000000000001
z<=22,22,0.25,0.08833333333333333,0.029333333333333336
z<=22,22,0.5,0.07,0.027999999999999997
z<=22,22,0.75,0.06166666666666667,0.05533333333333333
z<=24,24,0.25,0.085,0.058
z<=24,24,0.5,0.06833333333333333,0.009333333333333332
z<=24,24,0.75,0.06,0.016
